consignment_item_id,consignment_id,product_id,quantity,item_weight_kg,item_cubic_m,dangerous_goods_class
1,1,580,1,8.69,0.0344,
2,1,456,24,131.04,0.5784,
3,1,527,24,115.68,0.4656,
4,1,616,2,38.32,0.184,
5,1,377,4,89.12,0.2844,
6,1,309,4,109.64,0.3468,
7,1,297,1,23.76,0.0962,
8,1,427,6,61.5,0.2502,
9,1,643,12,92.52,0.4308,
10,1,662,6,140.1,0.5712,
11,2,777,1,32.22,0.1631,
12,2,691,12,101.16,0.36,Class 8 Corrosive
13,2,311,24,148.08,0.4632,
14,2,272,12,19.92,0.0792,
15,3,678,1,17.91,0.0969,
16,3,657,12,166.68,0.7992,
17,3,439,1,9.16,0.0448,
18,3,319,1,18.02,0.0578,
19,3,76,2,36.24,0.1428,
20,3,545,2,48.86,0.236,Class 3 Flammable
21,3,414,1,15.23,0.06,
22,3,195,24,308.88,1.0248,
23,3,467,2,41.98,0.161,Class 3 Flammable
24,3,54,1,12.93,0.047,
25,3,585,1,14.3,0.0456,
26,3,379,1,6.26,0.0211,
27,3,223,4,61.4,0.2372,
28,3,537,1,7.15,0.0245,
29,3,87,4,102.96,0.3436,
30,3,119,4,160.8,0.694,
31,3,308,1,13.72,0.046,
32,3,175,2,24.68,0.0866,
33,3,217,1,11.81,0.0384,
34,3,480,12,114.48,0.3804,
35,4,443,1,12.38,0.0558,
36,4,133,6,20.82,0.081,
37,4,619,6,191.58,0.69,
38,4,370,1,6.35,0.0294,Class 8 Corrosive
39,4,337,6,259.68,1.2522,
40,4,729,2,8.16,0.0356,
41,4,139,1,14.61,0.0507,Class 8 Corrosive
42,4,614,24,416.64,1.4904,
43,4,10,4,120.96,0.5972,
44,4,48,24,512.4,2.004,
45,5,598,4,36.32,0.1184,Class 3 Flammable
46,5,719,1,24.4,0.1126,
47,5,292,1,15.48,0.0698,
48,5,580,12,104.28,0.4128,
49,6,10,2,60.48,0.2986,
50,6,288,12,59.16,0.324,
51,7,692,1,4.82,0.0167,
52,7,465,6,149.04,0.4902,
53,8,578,6,33.12,0.1398,
54,8,637,1,7.37,0.0328,
55,8,700,12,443.52,2.004,
56,8,774,2,8.9,0.042,Class 3 Flammable
57,8,584,6,15.54,0.0588,
58,8,444,12,33.24,0.1128,
59,8,407,1,22.1,0.0822,Class 3 Flammable
60,8,606,1,7.24,0.0402,
61,8,97,2,16.28,0.0756,Class 8 Corrosive
62,8,651,6,56.34,0.2586,
63,9,317,12,70.92,0.2748,
64,9,202,12,440.04,1.8528,
65,9,199,2,14.82,0.0558,
66,9,293,2,54.04,0.1734,
67,9,335,1,2.86,0.0101,
68,9,725,2,40.96,0.1454,
69,9,483,6,43.68,0.1746,
70,9,434,1,14.36,0.0495,Class 3 Flammable
71,9,306,1,14.52,0.0478,
72,9,316,1,4.55,0.0153,
73,10,774,1,4.45,0.021,Class 3 Flammable
74,10,755,2,4.56,0.0196,
75,11,295,12,225.12,1.134,
76,11,242,1,13.3,0.0621,
77,12,33,12,318.48,1.29,
78,12,75,2,28.02,0.15,
79,12,675,1,11.09,0.0401,
80,12,139,4,58.44,0.2028,Class 8 Corrosive
81,12,41,4,2.52,0.008,
82,12,20,1,16.0,0.0586,
83,12,506,2,45.3,0.1432,
84,12,753,12,158.4,0.6792,
85,12,434,12,172.32,0.594,Class 3 Flammable
86,12,738,2,25.28,0.0904,Class 8 Corrosive
87,13,68,24,150.96,0.7152,
88,13,754,1,12.1,0.0515,
89,14,60,2,10.34,0.0352,
90,14,319,6,108.12,0.3468,
91,14,132,2,31.14,0.11,Class 3 Flammable
92,14,429,2,14.4,0.0686,
93,14,382,1,8.29,0.0328,
94,14,662,6,140.1,0.5712,
95,15,37,1,28.06,0.1288,
96,15,416,24,423.12,1.4208,
97,16,648,4,42.52,0.18,
98,16,588,2,11.46,0.059,
99,16,290,2,18.2,0.0914,
100,17,331,12,88.2,0.3072,
101,18,55,6,40.14,0.2076,
102,19,74,1,43.32,0.1355,
103,19,498,2,17.7,0.0574,
104,20,670,1,7.33,0.0258,Class 8 Corrosive
105,21,78,6,119.46,0.3798,Class 8 Corrosive
106,22,674,2,50.68,0.176,
107,23,397,24,270.48,1.3176,
108,23,625,1,4.22,0.0162,
109,24,444,1,2.77,0.0094,
110,25,314,6,40.14,0.1284,
111,25,99,6,147.0,0.5658,
112,25,33,6,159.24,0.645,
113,25,186,1,17.97,0.0629,
114,26,578,1,5.52,0.0233,
115,26,79,1,11.28,0.0578,
116,26,251,4,26.48,0.098,
117,26,583,4,13.92,0.0484,
118,27,756,1,12.1,0.0636,Class 8 Corrosive
119,28,597,4,56.4,0.1784,
120,29,27,4,42.8,0.1488,
121,30,348,4,71.36,0.3692,
122,30,709,2,28.1,0.0898,
123,30,49,2,8.62,0.0362,
124,30,196,2,46.94,0.207,
125,31,483,6,43.68,0.1746,
126,32,426,6,23.52,0.093,
127,33,712,1,6.07,0.0195,
128,33,530,2,12.44,0.0492,
129,33,540,6,70.26,0.2892,
130,34,533,6,101.16,0.4242,
131,34,574,2,3.5,0.0122,
132,34,477,4,7.64,0.0272,
133,34,338,2,43.38,0.1358,
134,35,229,4,12.84,0.0632,
135,35,388,1,6.99,0.0279,
136,35,79,1,11.28,0.0578,
137,36,460,1,28.11,0.1319,
138,37,35,1,16.5,0.0684,Class 9 Misc
139,38,521,12,49.92,0.2292,
140,38,449,2,40.76,0.1594,Class 8 Corrosive
141,38,177,1,17.97,0.0829,
142,39,578,1,5.52,0.0233,
143,39,216,2,39.62,0.2002,
144,40,203,6,23.94,0.0942,
145,40,771,6,98.1,0.4272,
146,40,618,1,26.68,0.0844,Class 3 Flammable
147,40,698,2,29.12,0.1432,Class 3 Flammable
148,40,310,12,186.84,0.882,
149,40,12,2,13.44,0.0472,
150,41,567,2,30.56,0.1,
151,42,494,2,8.8,0.0366,
152,43,694,12,118.44,0.4788,
153,43,376,4,44.88,0.2216,Class 3 Flammable
154,43,179,2,20.04,0.0704,
155,43,628,1,2.33,0.0088,Class 9 Misc
156,44,98,6,144.54,0.7086,
157,44,203,4,15.96,0.0628,
158,44,581,2,43.18,0.1984,
159,44,527,2,9.64,0.0388,
160,45,197,6,217.14,0.765,
161,45,408,6,33.36,0.1506,
162,45,742,2,13.58,0.062,
163,46,583,2,6.96,0.0242,
164,46,760,1,2.94,0.0116,Class 3 Flammable
165,47,273,4,56.56,0.2392,Class 3 Flammable
166,47,248,6,112.26,0.4458,
167,47,267,1,4.12,0.0165,
168,47,217,1,11.81,0.0384,
169,47,208,1,21.53,0.0792,
170,47,522,4,79.88,0.4164,
171,48,420,2,28.32,0.1406,Class 8 Corrosive
172,48,15,4,65.16,0.3412,
173,48,172,1,1.71,0.0054,
174,48,334,1,10.95,0.0389,
175,48,665,2,17.18,0.0848,
176,48,323,1,17.02,0.0841,
177,48,483,1,7.28,0.0291,
178,48,777,24,773.28,3.9144,
179,48,198,1,3.04,0.0111,
180,48,327,1,7.66,0.0394,
181,49,219,4,40.76,0.1752,
182,49,379,6,37.56,0.1266,
183,49,201,1,18.76,0.0708,
184,49,698,12,174.72,0.8592,Class 3 Flammable
185,50,455,12,231.48,0.8484,
186,50,8,1,19.8,0.0713,
187,50,271,4,81.56,0.3556,
188,50,305,24,430.56,2.1672,
189,50,604,6,49.2,0.2172,
190,50,13,2,21.38,0.085,
191,51,187,1,12.94,0.0461,
192,51,19,12,78.48,0.3252,
193,52,704,6,16.86,0.0672,Class 9 Misc
194,52,488,1,15.03,0.0494,
195,52,636,6,162.72,0.5238,Class 9 Misc
196,52,155,4,81.16,0.2724,
197,53,584,6,15.54,0.0588,
198,53,564,6,22.2,0.105,
199,53,282,4,71.48,0.302,Class 9 Misc
200,54,483,6,43.68,0.1746,
201,55,141,12,102.24,0.5376,
202,55,223,2,30.7,0.1186,
203,55,455,4,77.16,0.2828,
204,55,552,1,6.99,0.0233,
205,55,709,1,14.05,0.0449,
206,55,93,4,171.8,0.6212,
207,55,443,1,12.38,0.0558,
208,55,228,1,10.4,0.0397,
209,55,701,6,173.58,0.5598,
210,55,528,1,8.48,0.034,
211,56,503,4,124.88,0.5192,
212,56,345,2,17.46,0.0778,
213,56,210,2,29.94,0.1562,
214,57,557,2,20.4,0.0826,
215,57,708,1,33.64,0.1488,
216,58,731,2,15.64,0.0514,
217,58,698,1,14.56,0.0716,Class 3 Flammable
218,58,433,1,3.63,0.0195,
219,59,291,1,6.03,0.0329,
220,59,502,2,19.38,0.0644,
221,59,194,12,343.56,1.2264,
222,60,529,2,28.38,0.1548,
223,60,253,6,98.22,0.327,
224,60,170,1,17.06,0.0619,
225,60,556,4,71.08,0.2552,
226,61,549,2,16.26,0.0664,
227,61,4,2,11.26,0.0454,
228,61,708,2,67.28,0.2976,
229,61,611,2,35.0,0.1312,
230,62,537,2,14.3,0.049,
231,62,135,1,6.42,0.0233,
232,63,225,6,108.6,0.4668,
233,63,553,2,45.52,0.1918,
234,64,124,1,10.21,0.0427,
235,65,117,2,19.72,0.0776,
236,66,193,1,9.55,0.0507,
237,67,47,1,15.18,0.0602,
238,67,665,1,8.59,0.0424,
239,67,599,1,6.32,0.0288,
240,67,329,1,9.33,0.0325,
241,68,413,1,16.69,0.0804,
242,69,632,2,34.46,0.1614,
243,69,459,6,174.54,0.615,
244,70,437,24,195.84,0.6432,
245,71,229,12,38.52,0.1896,
246,71,70,1,3.39,0.0131,
247,72,411,1,36.2,0.1836,
248,72,600,1,4.63,0.0174,
249,72,93,1,42.95,0.1553,
250,73,710,4,72.24,0.2964,
251,73,166,1,21.08,0.0737,
252,74,490,12,24.24,0.1296,
253,74,199,2,14.82,0.0558,
254,75,542,1,12.13,0.0633,
255,75,22,4,71.72,0.2768,
256,75,182,2,9.14,0.0296,
257,75,91,12,72.96,0.234,
258,75,23,2,23.9,0.088,
259,75,667,6,78.06,0.3282,
260,75,488,4,60.12,0.1976,
261,75,120,1,29.78,0.1134,
262,75,656,6,10.68,0.0354,Class 9 Misc
263,75,712,1,6.07,0.0195,
264,75,180,12,59.28,0.2292,
265,75,2,1,14.14,0.0476,
266,75,141,4,34.08,0.1792,
267,75,26,6,262.32,1.4202,
268,75,728,12,137.16,0.5592,
269,75,699,2,15.8,0.0858,
270,75,184,2,15.26,0.0624,Class 3 Flammable
271,75,481,1,7.9,0.0331,Class 9 Misc
272,75,387,4,88.68,0.2928,
273,75,502,1,9.69,0.0322,
274,76,640,1,13.65,0.0525,
275,76,44,2,14.54,0.0548,
276,77,645,2,33.6,0.1856,
277,77,125,1,17.54,0.0835,
278,77,458,2,30.96,0.1258,
279,78,707,1,1.01,0.0051,
280,79,480,12,114.48,0.3804,
281,80,31,1,17.39,0.0555,
282,81,8,12,237.6,0.8556,
283,81,665,1,8.59,0.0424,
284,81,160,4,113.24,0.4116,
285,82,8,24,475.2,1.7112,
286,82,523,2,18.02,0.0568,Class 8 Corrosive
287,82,181,1,6.93,0.0323,
288,82,294,2,8.36,0.027,
289,82,413,1,16.69,0.0804,
290,82,533,24,404.64,1.6968,
291,83,152,4,72.68,0.2884,
292,83,241,2,15.52,0.0614,
293,83,466,6,47.94,0.1692,
294,84,73,6,55.74,0.2898,
295,84,202,2,73.34,0.3088,
296,84,627,2,19.84,0.0728,
297,85,537,6,42.9,0.147,
298,86,201,1,18.76,0.0708,
299,87,501,6,25.56,0.138,Class 3 Flammable
300,87,313,24,534.0,2.1768,
301,87,275,12,151.32,0.7428,
302,87,344,4,51.32,0.2436,Class 8 Corrosive
303,88,360,2,37.9,0.1338,
304,89,212,4,56.72,0.2632,Class 9 Misc
305,90,693,4,86.8,0.45,
306,91,474,2,24.66,0.1242,
307,92,507,2,31.24,0.1036,
308,92,707,1,1.01,0.0051,
309,93,628,6,13.98,0.0528,Class 9 Misc
310,93,616,1,19.16,0.092,
311,93,361,12,76.56,0.2568,
312,93,502,2,19.38,0.0644,
313,93,571,2,19.74,0.0732,
314,93,388,1,6.99,0.0279,
315,94,732,2,69.86,0.3794,
316,95,702,1,7.19,0.0337,
317,95,385,1,23.48,0.1286,
318,95,529,1,14.19,0.0774,
319,96,493,1,8.65,0.0354,
320,96,145,6,78.6,0.4002,
321,96,358,12,139.08,0.5304,
322,97,417,2,32.56,0.118,
323,97,557,4,40.8,0.1652,
324,98,85,1,15.48,0.0625,
325,98,662,1,23.35,0.0952,
326,98,233,12,133.92,0.5508,
327,98,580,1,8.69,0.0344,
328,99,404,1,13.04,0.0477,
329,99,459,1,29.09,0.1025,
330,99,392,1,15.6,0.0755,
331,99,230,1,10.49,0.0362,
332,99,13,1,10.69,0.0425,
333,99,107,2,14.04,0.074,
334,100,193,2,19.1,0.1014,
335,101,53,4,156.6,0.536,
336,101,483,24,174.72,0.6984,
337,102,470,24,592.56,2.5512,
338,103,31,12,208.68,0.666,
339,104,519,6,152.04,0.6486,
340,105,591,1,18.2,0.0599,Class 8 Corrosive
341,105,426,4,15.68,0.062,
342,105,710,24,433.44,1.7784,
343,106,435,2,9.04,0.0286,
344,106,248,1,18.71,0.0743,
345,107,32,12,229.68,0.72,Class 3 Flammable
346,108,136,6,63.72,0.2658,
347,108,759,2,10.34,0.0382,
348,108,58,24,179.76,0.9768,
349,109,269,4,158.0,0.7192,
350,109,42,6,102.12,0.4932,
351,109,458,4,61.92,0.2516,
352,109,245,2,25.1,0.105,
353,109,496,6,21.6,0.1098,
354,109,131,2,25.94,0.0948,
355,109,322,4,38.0,0.1588,
356,109,625,6,25.32,0.0972,
357,109,498,1,8.85,0.0287,
358,109,24,1,13.04,0.0534,
359,110,683,6,73.26,0.327,
360,110,776,1,29.72,0.1188,
361,110,168,2,50.18,0.1736,
362,110,684,1,22.64,0.0755,Class 3 Flammable
363,110,479,1,26.54,0.0899,
364,110,177,4,71.88,0.3316,
365,111,243,6,17.04,0.0732,
366,112,681,6,165.84,0.7872,
367,113,519,4,101.36,0.4324,
368,113,80,2,42.04,0.1422,
369,113,522,2,39.94,0.2082,
370,113,70,6,20.34,0.0786,
371,113,64,2,18.22,0.0916,
372,113,328,2,34.42,0.1758,
373,113,309,2,54.82,0.1734,
374,113,333,2,7.06,0.0292,
375,113,567,1,15.28,0.05,
376,113,403,4,40.88,0.1448,
377,114,518,4,10.12,0.0524,
378,114,299,2,5.22,0.0168,
379,114,774,1,4.45,0.021,Class 3 Flammable
380,114,444,1,2.77,0.0094,
381,114,190,6,62.04,0.3228,Class 8 Corrosive
382,114,596,4,31.68,0.1336,
383,114,96,4,40.16,0.1844,Class 9 Misc
384,114,41,12,7.56,0.024,
385,114,336,4,105.6,0.5624,
386,114,385,2,46.96,0.2572,
387,114,262,6,100.92,0.3516,
388,114,465,2,49.68,0.1634,
389,114,331,4,29.4,0.1024,
390,114,571,2,19.74,0.0732,
391,114,231,4,76.04,0.3284,
392,114,168,4,100.36,0.3472,
393,114,523,2,18.02,0.0568,Class 8 Corrosive
394,114,26,2,87.44,0.4734,
395,114,90,2,17.56,0.0956,
396,114,50,12,33.72,0.1692,
397,115,696,12,85.68,0.3468,
398,116,284,24,434.4,1.8792,
399,116,137,2,19.36,0.0866,
400,116,490,6,12.12,0.0648,
401,116,550,12,174.48,0.7716,
402,116,71,4,65.36,0.2276,
403,116,501,1,4.26,0.023,Class 3 Flammable
404,117,423,4,59.04,0.2184,
405,117,710,2,36.12,0.1482,
406,118,680,2,4.12,0.0128,
407,118,180,4,19.76,0.0764,
408,119,392,2,31.2,0.151,
409,120,673,1,11.64,0.0495,
410,120,438,1,25.57,0.0938,
411,120,62,24,276.24,1.3752,
412,121,666,1,20.45,0.0787,
413,121,253,2,32.74,0.109,
414,121,386,1,33.31,0.1612,
415,121,59,1,24.02,0.0847,
416,121,32,4,76.56,0.24,Class 3 Flammable
417,121,261,4,72.76,0.2404,
418,122,582,2,9.58,0.0358,
419,123,751,2,32.62,0.171,
420,124,484,1,8.53,0.0391,Class 8 Corrosive
421,124,106,1,17.19,0.0564,Class 8 Corrosive
422,124,39,1,1.82,0.0092,
423,124,252,2,38.56,0.1878,
424,124,489,4,67.76,0.2256,
425,124,626,2,13.16,0.0552,
426,124,37,1,28.06,0.1288,
427,124,150,12,236.04,0.7404,
428,124,320,6,47.16,0.1578,
429,124,754,2,24.2,0.103,
430,125,556,4,71.08,0.2552,
431,125,424,2,29.88,0.1468,
432,125,183,1,5.45,0.021,
433,126,224,2,26.46,0.0962,
434,127,731,1,7.82,0.0257,
435,127,492,24,175.2,0.8664,
436,128,148,1,21.76,0.1027,Class 9 Misc
437,129,507,1,15.62,0.0518,
438,129,8,2,39.6,0.1426,
439,129,567,4,61.12,0.2,
440,130,391,2,30.58,0.1586,
441,131,778,2,36.9,0.1382,
442,131,620,4,51.16,0.1648,
443,131,195,24,308.88,1.0248,
444,131,206,24,420.48,1.8384,
445,132,3,12,150.36,0.5616,
446,132,320,2,15.72,0.0526,
447,132,666,4,81.8,0.3148,
448,133,282,2,35.74,0.151,Class 9 Misc
449,133,689,2,8.18,0.0258,
450,133,640,6,81.9,0.315,
451,133,675,2,22.18,0.0802,
452,133,212,1,14.18,0.0658,Class 9 Misc
453,133,661,1,1.8,0.0062,
454,133,344,4,51.32,0.2436,Class 8 Corrosive
455,133,713,1,11.94,0.0523,Class 8 Corrosive
456,133,512,6,62.94,0.2298,
457,133,312,4,83.96,0.3032,
458,133,572,2,13.26,0.049,Class 3 Flammable
459,133,670,12,87.96,0.3096,Class 8 Corrosive
460,133,379,4,25.04,0.0844,
461,133,320,1,7.86,0.0263,
462,133,536,1,13.11,0.0509,
463,133,86,1,5.96,0.0223,
464,133,448,6,36.66,0.1242,
465,133,584,2,5.18,0.0196,
466,133,70,4,13.56,0.0524,
467,133,139,24,350.64,1.2168,Class 8 Corrosive
468,134,104,1,7.85,0.0358,
469,134,142,12,141.0,0.5892,Class 9 Misc
470,134,543,1,18.24,0.0663,
471,134,18,4,33.16,0.1248,Class 8 Corrosive
472,135,641,1,3.4,0.0154,
473,136,618,1,26.68,0.0844,Class 3 Flammable
474,137,327,1,7.66,0.0394,
475,137,625,2,8.44,0.0324,
476,137,536,2,26.22,0.1018,
477,137,708,2,67.28,0.2976,
478,137,422,4,30.76,0.0964,
479,137,354,1,33.04,0.1129,
480,137,159,4,35.12,0.116,
481,137,503,2,62.44,0.2596,
482,137,521,12,49.92,0.2292,
483,137,435,2,9.04,0.0286,
484,138,22,4,71.72,0.2768,
485,138,594,1,19.15,0.0798,
486,139,534,1,2.54,0.0082,
487,139,379,1,6.26,0.0211,
488,139,481,1,7.9,0.0331,Class 9 Misc
489,140,674,2,50.68,0.176,
490,140,769,4,21.72,0.0824,Class 8 Corrosive
491,140,235,6,116.16,0.5622,
492,140,277,4,58.2,0.2844,Class 8 Corrosive
493,141,101,4,42.84,0.2268,
494,142,478,1,9.69,0.0508,Class 9 Misc
495,143,687,1,34.55,0.1323,
496,143,324,1,12.45,0.0561,
497,144,343,12,141.24,0.6132,
498,144,472,4,44.36,0.1416,
499,144,699,4,31.6,0.1716,
500,144,718,1,2.12,0.0082,
501,144,125,2,35.08,0.167,
502,144,340,1,5.92,0.0313,
503,144,525,2,63.48,0.3002,
504,144,710,1,18.06,0.0741,
505,144,33,1,26.54,0.1075,
506,144,531,1,16.7,0.0527,Class 3 Flammable
507,144,275,4,50.44,0.2476,
508,144,513,2,6.14,0.0232,
509,144,5,4,38.84,0.1428,
510,144,38,12,107.04,0.3492,
511,144,156,6,46.08,0.2226,
512,144,41,2,1.26,0.004,
513,144,471,6,69.54,0.2262,
514,144,276,24,455.28,1.608,
515,144,111,4,43.64,0.23,
516,144,363,2,27.2,0.0934,
517,145,414,1,15.23,0.06,
518,145,280,2,31.58,0.1472,
519,146,667,1,13.01,0.0547,
520,146,762,1,9.83,0.0419,
521,147,390,4,24.6,0.1256,
522,148,741,1,15.25,0.0671,
523,148,368,2,18.52,0.0674,
524,148,542,1,12.13,0.0633,
525,148,220,4,51.44,0.1752,
526,148,469,2,14.4,0.0534,
527,148,600,12,55.56,0.2088,
528,148,16,1,26.96,0.1119,
529,148,11,1,20.63,0.0749,
530,148,573,1,9.93,0.0313,
531,148,383,2,38.38,0.12,Class 3 Flammable
532,149,615,1,12.98,0.0619,
533,149,139,1,14.61,0.0507,Class 8 Corrosive
534,150,314,4,26.76,0.0856,
535,150,602,6,48.48,0.1746,Class 9 Misc
536,151,335,1,2.86,0.0101,
537,151,690,2,26.56,0.099,
538,151,605,6,64.74,0.3312,
539,151,140,2,17.3,0.0834,Class 3 Flammable
540,151,72,2,14.2,0.0582,
541,151,492,2,14.6,0.0722,
542,151,707,12,12.12,0.0612,
543,151,59,1,24.02,0.0847,
544,151,772,24,675.6,2.2272,
545,151,750,2,58.86,0.1916,
546,152,272,24,39.84,0.1584,
547,153,472,2,22.18,0.0708,
548,153,753,4,52.8,0.2264,
549,153,56,1,7.14,0.0326,
550,154,694,12,118.44,0.4788,
551,154,204,24,154.08,0.6216,
552,155,566,12,56.52,0.234,
553,155,198,6,18.24,0.0666,
554,155,210,4,59.88,0.3124,
555,155,441,2,4.98,0.0232,
556,156,361,1,6.38,0.0214,
557,156,6,6,126.9,0.5928,Class 9 Misc
558,157,470,1,24.69,0.1063,
559,158,582,4,19.16,0.0716,
560,158,216,1,19.81,0.1001,
561,159,379,4,25.04,0.0844,
562,159,53,4,156.6,0.536,
563,159,281,6,49.44,0.2226,
564,159,708,1,33.64,0.1488,
565,159,413,1,16.69,0.0804,
566,159,143,1,7.37,0.0254,Class 3 Flammable
567,159,536,4,52.44,0.2036,
568,159,755,2,4.56,0.0196,
569,159,675,4,44.36,0.1604,
570,159,277,4,58.2,0.2844,Class 8 Corrosive
571,160,173,6,62.16,0.3174,
572,160,298,1,19.56,0.0693,
573,161,657,1,13.89,0.0666,
574,161,44,2,14.54,0.0548,
575,162,673,2,23.28,0.099,
576,162,561,1,15.46,0.0803,
577,162,592,2,27.0,0.1134,Class 3 Flammable
578,162,181,1,6.93,0.0323,
579,162,363,2,27.2,0.0934,
580,162,217,1,11.81,0.0384,
581,162,19,4,26.16,0.1084,
582,162,642,4,16.36,0.0688,
583,162,584,12,31.08,0.1176,
584,162,657,2,27.78,0.1332,
585,163,659,4,45.16,0.1828,
586,164,325,4,75.08,0.3908,Class 3 Flammable
587,164,548,2,17.04,0.0722,
588,164,771,2,32.7,0.1424,
589,164,160,2,56.62,0.2058,
590,164,44,6,43.62,0.1644,
591,164,598,1,9.08,0.0296,Class 3 Flammable
592,165,498,2,17.7,0.0574,
593,165,298,1,19.56,0.0693,
594,165,371,4,133.6,0.5168,
595,165,350,1,13.52,0.044,
596,165,452,2,17.26,0.0782,
597,165,278,12,32.88,0.1272,
598,166,569,24,319.44,1.0992,
