invoice_line_id,invoice_id,service_type_id,consignment_count,line_amount_aud,chargeable_weight_kg
1,1,3,1,336.91,814.0
2,1,4,1,227.5,500.38
3,2,1,1,158.4,4.57
4,2,3,2,500.22,234.7
5,3,7,1,166.51,2.0
6,4,1,2,756.15,144.49
7,4,4,1,125.47,205.55
8,5,7,1,213.87,130.88
9,6,3,2,295.83,224.87
10,6,6,1,135.1,25.45
11,7,3,1,135.17,122.16
12,8,3,2,309.58,81.81
13,8,6,1,328.71,194.58
14,9,2,1,431.7,75.0
15,10,2,1,732.19,80.3
16,10,3,1,438.52,1343.72
17,10,6,1,122.5,84.03
18,11,5,1,1071.69,1086.53
19,11,6,1,129.73,143.98
20,12,2,1,394.43,25.18
21,12,3,1,386.79,13.27
22,13,3,2,276.47,288.79
23,14,2,1,713.65,69.64
24,14,4,2,214.65,36.85
25,14,7,1,352.84,18.72
26,15,4,2,683.76,29.9
27,16,4,1,88.52,65.68
28,17,1,2,1499.3,326.8
29,17,2,1,125.01,31.75
30,17,3,1,103.15,12.62
31,17,7,1,808.48,11.9
32,18,3,2,740.69,310.65
33,19,3,3,1032.02,1525.05
34,19,5,1,1531.11,728.39
35,20,1,1,196.97,65.95
36,21,2,1,216.47,146.64
37,21,3,2,404.03,738.87
38,21,4,1,180.35,343.94
39,21,5,1,220.29,15.52
40,22,1,2,284.22,214.67
41,22,4,2,460.74,1081.14
42,22,7,1,224.19,71.3
43,23,2,1,547.86,90.9
44,24,3,1,432.8,42.64
45,24,4,2,229.69,126.21
46,24,6,1,163.83,98.6
47,25,7,1,143.66,16.23
48,26,3,1,98.59,6.04
49,27,3,2,566.79,596.6
50,27,4,2,497.35,1505.27
51,27,5,1,308.4,106.5
52,28,2,1,213.34,189.68
53,28,3,2,395.54,218.8
54,28,4,1,144.39,61.3
55,29,3,1,119.48,55.13
56,29,6,1,226.3,255.0
57,30,2,2,1039.54,47.45
58,30,3,1,217.2,433.31
59,30,4,1,126.62,59.27
60,30,6,1,127.28,132.66
61,31,2,2,800.0,321.15
62,32,3,1,0.0,119.37
63,32,7,1,898.98,57.85
64,33,3,1,94.24,20.88
65,33,4,2,396.55,258.2
66,34,2,1,326.54,56.32
67,34,3,1,110.83,30.7
68,34,4,1,122.99,66.75
69,35,1,1,243.58,246.29
70,36,2,1,169.55,116.5
71,36,4,1,126.45,25.24
72,37,1,1,157.32,35.27
73,37,3,1,372.63,268.57
74,37,4,1,322.67,1033.78
75,38,1,1,450.18,15.6
76,39,2,2,621.03,264.13
77,39,3,1,421.0,127.15
78,39,4,1,200.66,111.94
79,40,3,1,116.46,129.2
80,40,4,1,129.25,88.98
81,40,5,1,275.29,102.13
82,41,4,1,110.61,21.72
83,41,5,1,160.99,14.95
84,42,4,2,268.81,279.45
85,42,6,1,353.69,1147.96
86,42,7,1,1064.69,127.69
87,43,2,1,159.79,17.8
88,43,3,2,704.23,54.8
89,43,4,2,487.89,136.09
90,44,3,1,410.0,49.9
91,44,4,1,104.07,55.44
92,45,1,1,771.88,84.9
93,45,3,2,587.79,96.3
94,45,4,1,374.73,89.4
95,46,4,1,127.24,38.0
96,46,5,1,975.07,16.4
97,46,6,1,110.18,70.58
98,47,4,2,504.67,879.89
99,47,6,1,116.02,82.9
100,47,7,1,944.91,1015.47
101,48,3,1,508.79,221.28
102,48,6,1,111.26,183.16
103,49,2,1,133.02,32.68
104,49,3,3,417.33,194.72
105,49,4,1,423.6,66.3
106,50,1,1,260.45,219.7
107,50,2,1,400.07,664.65
108,50,3,1,122.83,17.95
109,50,4,1,166.78,445.4
110,50,5,1,328.51,116.82
111,50,6,3,442.08,350.42
112,51,2,1,142.57,47.18
113,51,5,1,1327.83,1366.35
114,52,2,2,781.68,175.7
115,52,3,1,419.12,239.58
116,52,4,2,231.35,98.57
