invoice_id,invoice_number,customer_id,invoice_date,due_date,net_amount_aud,gst_amount_aud,total_amount_aud,payment_date,invoice_status
1,INV-202301-000001,1,2023-01-31,2023-03-02,564.41,56.44,620.85,2023-02-25,PAID
2,INV-202303-000001,1,2023-03-31,2023-04-30,658.62,65.86,724.48,2023-04-16,PAID
3,INV-202304-000001,1,2023-04-30,2023-05-30,166.51,16.65,183.16,2023-05-14,PAID
4,INV-202305-000001,1,2023-05-31,2023-06-30,881.62,88.16,969.78,2023-06-13,PAID
5,INV-202306-000001,1,2023-06-30,2023-07-30,213.87,21.39,235.26,2023-07-16,PAID
6,INV-202307-000001,1,2023-07-31,2023-08-30,430.93,43.09,474.02,2023-08-18,PAID
7,INV-202308-000001,1,2023-08-31,2023-09-30,135.17,13.52,148.69,2023-09-25,PAID
8,INV-202309-000001,1,2023-09-30,2023-10-30,638.29,63.83,702.12,2023-10-27,PAID
9,INV-202310-000001,1,2023-10-31,2023-11-30,431.7,43.17,474.87,2023-11-20,PAID
10,INV-202311-000001,1,2023-11-30,2023-12-30,1293.21,129.32,1422.53,2023-12-15,PAID
11,INV-202312-000001,1,2023-12-31,2024-01-30,1201.42,120.14,1321.56,2024-02-11,PAID_LATE
12,INV-202402-000001,1,2024-02-29,2024-03-30,781.22,78.12,859.34,2024-03-21,PAID
13,INV-202403-000001,1,2024-03-31,2024-04-30,276.47,27.65,304.12,2024-04-22,PAID
14,INV-202405-000001,1,2024-05-31,2024-06-30,1281.14,128.11,1409.25,2024-06-27,PAID
15,INV-202408-000001,1,2024-08-31,2024-09-30,683.76,68.38,752.14,2024-09-16,PAID
16,INV-202409-000001,1,2024-09-30,2024-10-30,88.52,8.85,97.37,2024-10-21,PAID
17,INV-202410-000001,1,2024-10-31,2024-11-30,2535.94,253.59,2789.53,2024-11-26,PAID
18,INV-202411-000001,1,2024-11-30,2024-12-30,740.69,74.07,814.76,2025-01-30,PAID_LATE
19,INV-202412-000001,1,2024-12-31,2025-01-30,2563.13,256.31,2819.44,2025-01-29,PAID
20,INV-202501-000001,1,2025-01-31,2025-03-02,196.97,19.7,216.67,2025-02-25,PAID
21,INV-202502-000001,1,2025-02-28,2025-03-30,1021.14,102.11,1123.25,2025-03-26,PAID
22,INV-202503-000001,1,2025-03-31,2025-04-30,969.15,96.92,1066.07,2025-04-28,PAID
23,INV-202504-000001,1,2025-04-30,2025-05-30,547.86,54.79,602.65,2025-06-08,PAID_LATE
24,INV-202505-000001,1,2025-05-31,2025-06-30,826.32,82.63,908.95,2025-06-27,PAID
25,INV-202506-000001,1,2025-06-30,2025-07-30,143.66,14.37,158.03,2025-07-21,PAID
26,INV-202507-000001,1,2025-07-31,2025-08-30,98.59,9.86,108.45,2025-08-13,PAID
27,INV-202508-000001,1,2025-08-31,2025-09-30,1372.54,137.25,1509.79,2025-09-24,PAID
28,INV-202509-000001,1,2025-09-30,2025-10-30,753.27,75.33,828.6,2025-10-21,PAID
29,INV-202510-000001,1,2025-10-31,2025-11-30,345.78,34.58,380.36,2025-11-13,PAID
30,INV-202511-000001,1,2025-11-30,2025-12-30,1510.64,151.06,1661.7,2025-12-24,PAID
31,INV-202512-000001,1,2025-12-31,2026-01-30,800.0,80.0,880.0,2026-01-10,PAID
32,INV-202602-000001,1,2026-02-28,2026-03-30,898.98,89.9,988.88,2026-03-23,PAID
33,INV-202603-000001,1,2026-03-31,2026-04-30,490.79,49.08,539.87,2026-05-09,PAID_LATE
34,INV-202604-000001,1,2026-04-30,2026-05-30,560.36,56.04,616.4,2026-05-26,PAID
35,INV-202605-000001,1,2026-05-31,2026-06-30,243.58,24.36,267.94,2026-06-20,PAID
36,INV-202606-000001,1,2026-06-30,2026-07-30,296.0,29.6,325.6,2026-07-28,PAID
37,INV-202302-000002,2,2023-02-28,2023-04-29,852.62,85.26,937.88,2023-05-02,PAID_LATE
38,INV-202303-000002,2,2023-03-31,2023-05-30,450.18,45.02,495.2,2023-05-14,PAID
39,INV-202304-000002,2,2023-04-30,2023-06-29,1242.69,124.27,1366.96,2023-06-29,PAID
40,INV-202305-000002,2,2023-05-31,2023-07-30,521.0,52.1,573.1,2023-07-30,PAID
41,INV-202306-000002,2,2023-06-30,2023-08-29,271.6,27.16,298.76,2023-08-29,PAID
42,INV-202307-000002,2,2023-07-31,2023-09-29,1687.19,168.72,1855.91,2023-09-21,PAID
