inventory_snapshot_id,snapshot_date,facility_id,product_category,pallets_on_hand,pallets_capacity,pallets_inbound,pallets_outbound,pallets_damaged
1,2023-01-01,1,Pharmaceuticals,284,125,21,33,1
2,2023-01-01,1,Electronics,332,125,29,38,0
3,2023-01-01,1,Building Materials,82,125,4,11,0
4,2023-01-01,1,Homewares,319,125,29,37,1
5,2023-01-01,1,Beverages,310,125,30,39,0
6,2023-01-01,1,Apparel,87,125,12,14,0
7,2023-01-01,1,Mining Consumables,314,125,24,37,1
8,2023-01-01,1,Chilled Food,98,125,16,12,0
9,2023-01-01,1,Auto Parts,81,125,7,1,2
10,2023-01-01,1,Ambient Grocery,336,125,40,36,2
11,2023-01-01,1,Industrial Consumables,214,125,22,24,0
12,2023-01-01,1,Frozen Food,332,125,36,27,0
13,2023-01-01,2,Pharmaceuticals,119,125,14,25,1
14,2023-01-01,2,Electronics,168,125,18,19,2
15,2023-01-01,2,Building Materials,265,125,22,23,2
16,2023-01-01,2,Homewares,100,125,0,7,1
17,2023-01-01,2,Beverages,123,125,7,13,0
18,2023-01-01,2,Apparel,220,125,24,25,0
19,2023-01-01,2,Mining Consumables,326,125,30,29,1
20,2023-01-01,2,Chilled Food,318,125,35,36,0
21,2023-01-01,2,Auto Parts,89,125,5,15,0
22,2023-01-01,2,Ambient Grocery,290,125,25,31,2
23,2023-01-01,2,Industrial Consumables,170,125,17,13,0
24,2023-01-01,2,Frozen Food,258,125,23,17,0
25,2023-01-01,3,Pharmaceuticals,102,250,15,5,0
26,2023-01-01,3,Electronics,281,250,28,33,0
27,2023-01-01,3,Building Materials,100,250,23,11,1
28,2023-01-01,3,Homewares,101,250,14,13,1
29,2023-01-01,3,Beverages,153,250,19,10,1
30,2023-01-01,3,Apparel,60,250,3,5,1
31,2023-01-01,3,Mining Consumables,209,250,20,24,1
32,2023-01-01,3,Chilled Food,308,250,36,23,0
33,2023-01-01,3,Auto Parts,246,250,36,32,1
34,2023-01-01,3,Ambient Grocery,73,250,5,6,0
35,2023-01-01,3,Industrial Consumables,221,250,16,23,1
36,2023-01-01,3,Frozen Food,234,250,22,22,2
37,2023-01-01,8,Pharmaceuticals,258,66,32,27,1
38,2023-01-01,8,Electronics,319,66,40,41,1
39,2023-01-01,8,Building Materials,198,66,19,29,0
40,2023-01-01,8,Homewares,114,66,9,14,0
41,2023-01-01,8,Beverages,258,66,28,27,0
42,2023-01-01,8,Apparel,275,66,30,27,4
43,2023-01-01,8,Mining Consumables,180,66,19,19,3
44,2023-01-01,8,Chilled Food,111,66,13,3,2
45,2023-01-01,8,Auto Parts,199,66,31,19,0
46,2023-01-01,8,Ambient Grocery,302,66,31,25,0
47,2023-01-01,8,Industrial Consumables,146,66,19,6,0
48,2023-01-01,8,Frozen Food,226,66,21,25,1
49,2023-01-01,9,Pharmaceuticals,239,500,21,22,0
50,2023-01-01,9,Electronics,250,500,22,35,0
51,2023-01-01,9,Building Materials,191,500,20,17,0
52,2023-01-01,9,Homewares,57,500,7,7,1
53,2023-01-01,9,Beverages,109,500,14,8,0
54,2023-01-01,9,Apparel,166,500,11,22,1
55,2023-01-01,9,Mining Consumables,328,500,36,38,0
56,2023-01-01,9,Chilled Food,274,500,20,30,1
57,2023-01-01,9,Auto Parts,193,500,21,21,2
58,2023-01-01,9,Ambient Grocery,34,500,0,9,0
59,2023-01-01,9,Industrial Consumables,188,500,9,28,1
60,2023-01-01,9,Frozen Food,211,500,7,29,0
61,2023-01-01,10,Pharmaceuticals,132,500,19,10,0
62,2023-01-01,10,Electronics,278,500,40,35,1
63,2023-01-01,10,Building Materials,187,500,36,20,0
64,2023-01-01,10,Homewares,294,500,27,21,0
65,2023-01-01,10,Beverages,349,500,28,37,0
66,2023-01-01,10,Apparel,157,500,15,19,1
67,2023-01-01,10,Mining Consumables,280,500,18,37,0
68,2023-01-01,10,Chilled Food,202,500,20,27,0
69,2023-01-01,10,Auto Parts,294,500,33,32,2
70,2023-01-01,10,Ambient Grocery,173,500,16,16,0
71,2023-01-01,10,Industrial Consumables,233,500,18,27,1
72,2023-01-01,10,Frozen Food,72,500,5,0,1
73,2023-01-01,12,Pharmaceuticals,147,66,9,11,0
74,2023-01-01,12,Electronics,174,66,10,17,0
75,2023-01-01,12,Building Materials,245,66,23,34,0
76,2023-01-01,12,Homewares,64,66,0,17,1
77,2023-01-01,12,Beverages,229,66,24,25,0
78,2023-01-01,12,Apparel,263,66,23,23,2
79,2023-01-01,12,Mining Consumables,265,66,26,22,0
80,2023-01-01,12,Chilled Food,240,66,31,31,1
81,2023-01-01,12,Auto Parts,105,66,7,9,0
82,2023-01-01,12,Ambient Grocery,242,66,41,23,0
83,2023-01-01,12,Industrial Consumables,243,66,38,28,1
84,2023-01-01,12,Frozen Food,149,66,12,19,0
85,2023-01-01,13,Pharmaceuticals,220,250,23,24,0
86,2023-01-01,13,Electronics,238,250,21,28,4
87,2023-01-01,13,Building Materials,64,250,1,1,0
88,2023-01-01,13,Homewares,286,250,28,25,0
89,2023-01-01,13,Beverages,176,250,22,17,0
90,2023-01-01,13,Apparel,59,250,13,3,0
91,2023-01-01,13,Mining Consumables,275,250,18,29,2
92,2023-01-01,13,Chilled Food,308,250,26,32,2
93,2023-01-01,13,Auto Parts,268,250,20,22,1
94,2023-01-01,13,Ambient Grocery,190,250,1,29,0
95,2023-01-01,13,Industrial Consumables,215,250,25,19,0
96,2023-01-01,13,Frozen Food,237,250,22,29,0
97,2023-01-01,15,Pharmaceuticals,318,66,31,30,1
98,2023-01-01,15,Electronics,204,66,16,28,2
99,2023-01-01,15,Building Materials,147,66,13,11,0
100,2023-01-01,15,Homewares,217,66,24,18,2
101,2023-01-01,15,Beverages,208,66,24,29,2
102,2023-01-01,15,Apparel,210,66,26,16,1
103,2023-01-01,15,Mining Consumables,151,66,13,11,1
104,2023-01-01,15,Chilled Food,309,66,42,45,0
105,2023-01-01,15,Auto Parts,273,66,26,29,1
106,2023-01-01,15,Ambient Grocery,249,66,19,24,0
107,2023-01-01,15,Industrial Consumables,323,66,28,27,1
108,2023-01-01,15,Frozen Food,98,66,10,2,0
109,2023-01-01,17,Pharmaceuticals,105,250,10,6,0
110,2023-01-01,17,Electronics,212,250,35,14,0
111,2023-01-01,17,Building Materials,259,250,24,27,2
112,2023-01-01,17,Homewares,62,250,12,3,0
113,2023-01-01,17,Beverages,259,250,23,27,0
114,2023-01-01,17,Apparel,305,250,31,49,2
115,2023-01-01,17,Mining Consumables,150,250,10,23,0
116,2023-01-01,17,Chilled Food,97,250,18,15,2
117,2023-01-01,17,Auto Parts,106,250,1,6,1
118,2023-01-01,17,Ambient Grocery,262,250,17,23,0
119,2023-01-01,17,Industrial Consumables,291,250,23,22,1
120,2023-01-01,17,Frozen Food,185,250,20,23,2
121,2023-01-01,18,Pharmaceuticals,253,250,19,28,1
122,2023-01-01,18,Electronics,134,250,24,22,0
123,2023-01-01,18,Building Materials,311,250,32,47,0
124,2023-01-01,18,Homewares,126,250,18,18,0
125,2023-01-01,18,Beverages,129,250,13,14,0
126,2023-01-01,18,Apparel,237,250,15,26,2
127,2023-01-01,18,Mining Consumables,227,250,21,24,0
128,2023-01-01,18,Chilled Food,310,250,39,30,1
129,2023-01-01,18,Auto Parts,257,250,29,35,0
130,2023-01-01,18,Ambient Grocery,186,250,11,20,0
131,2023-01-01,18,Industrial Consumables,236,250,16,32,2
132,2023-01-01,18,Frozen Food,65,250,16,4,0
133,2023-01-01,20,Pharmaceuticals,327,250,36,32,1
134,2023-01-01,20,Electronics,185,250,16,19,0
135,2023-01-01,20,Building Materials,273,250,26,30,1
136,2023-01-01,20,Homewares,110,250,17,7,1
137,2023-01-01,20,Beverages,270,250,19,30,1
138,2023-01-01,20,Apparel,223,250,19,30,0
139,2023-01-01,20,Mining Consumables,280,250,44,29,0
140,2023-01-01,20,Chilled Food,343,250,40,48,1
141,2023-01-01,20,Auto Parts,307,250,36,40,1
142,2023-01-01,20,Ambient Grocery,326,250,32,41,1
143,2023-01-01,20,Industrial Consumables,120,250,18,15,0
144,2023-01-01,20,Frozen Food,305,250,42,36,0
145,2023-01-01,27,Pharmaceuticals,240,125,24,19,0
146,2023-01-01,27,Electronics,35,125,6,1,0
147,2023-01-01,27,Building Materials,265,125,21,22,1
148,2023-01-01,27,Homewares,167,125,29,14,2
149,2023-01-01,27,Beverages,153,125,16,9,0
150,2023-01-01,27,Apparel,227,125,31,37,0
151,2023-01-01,27,Mining Consumables,244,125,17,23,2
152,2023-01-01,27,Chilled Food,269,125,25,28,1
153,2023-01-01,27,Auto Parts,258,125,20,18,2
154,2023-01-01,27,Ambient Grocery,238,125,20,26,0
155,2023-01-01,27,Industrial Consumables,367,125,31,38,3
156,2023-01-01,27,Frozen Food,190,125,23,25,1
157,2023-01-01,28,Pharmaceuticals,282,125,21,40,0
158,2023-01-01,28,Electronics,135,125,12,7,0
159,2023-01-01,28,Building Materials,317,125,28,35,0
160,2023-01-01,28,Homewares,83,125,7,12,0
161,2023-01-01,28,Beverages,130,125,22,10,0
162,2023-01-01,28,Apparel,105,125,7,8,0
163,2023-01-01,28,Mining Consumables,261,125,21,13,2
164,2023-01-01,28,Chilled Food,131,125,12,20,0
165,2023-01-01,28,Auto Parts,279,125,17,27,0
166,2023-01-01,28,Ambient Grocery,285,125,26,29,1
167,2023-01-01,28,Industrial Consumables,145,125,10,11,0
168,2023-01-01,28,Frozen Food,106,125,17,14,0
169,2023-01-01,29,Pharmaceuticals,220,125,28,23,0
170,2023-01-01,29,Electronics,207,125,32,21,1
171,2023-01-01,29,Building Materials,207,125,29,27,0
172,2023-01-01,29,Homewares,297,125,31,21,2
173,2023-01-01,29,Beverages,137,125,13,18,0
174,2023-01-01,29,Apparel,195,125,30,25,1
175,2023-01-01,29,Mining Consumables,87,125,12,16,2
