product_id,sku_code,product_name,product_category,uom,temperature_class,unit_weight_kg,unit_cubic_m,dangerous_goods_class,is_active
1,SKU-00001,PHARMACEUTICALS-STD-24PK-2765,Pharmaceuticals,Cartons,Chilled,8.61,0.033,Class 9 Misc,1
2,SKU-00002,ELECTRONICS-A-12PK-8971,Electronics,Cartons,Ambient,14.14,0.0476,None,1
3,SKU-00003,BUILDING-B-1EA-3800,Building Materials,Pallets,Ambient,12.53,0.0468,None,1
4,SKU-00004,HOMEWARES-PRM-1EA-2792,Homewares,Cartons,Ambient,5.63,0.0227,None,1
5,SKU-00005,BEVERAGES-A-12PK-9666,Beverages,Pallets,Ambient,9.71,0.0357,None,1
6,SKU-00006,APPAREL-A-12PK-8904,Apparel,Cartons,Ambient,21.15,0.0988,Class 9 Misc,1
7,SKU-00007,MINING-STD-1EA-6660,Mining Consumables,Pallets,Ambient,27.77,0.0944,Class 8 Corrosive,1
8,SKU-00008,CHILLED-A-12PK-7106,Chilled Food,Cartons,Chilled,19.8,0.0713,None,1
9,SKU-00009,BUILDING-A-24PK-7681,Building Materials,Pallets,Ambient,14.98,0.0547,None,1
10,SKU-00010,AUTO-A-6PK-9870,Auto Parts,Pallets,Ambient,30.24,0.1493,None,1
11,SKU-00011,AMBIENT-PRM-48PK-1651,Ambient Grocery,Cartons,Ambient,20.63,0.0749,None,1
12,SKU-00012,PHARMACEUTICALS-PRM-6PK-4403,Pharmaceuticals,Cartons,Ambient,6.72,0.0236,None,1
13,SKU-00013,AUTO-A-12PK-8210,Auto Parts,Pallets,Ambient,10.69,0.0425,None,1
14,SKU-00014,AMBIENT-STD-1EA-2144,Ambient Grocery,Cartons,Ambient,11.38,0.0388,None,1
15,SKU-00015,INDUSTRIAL-STD-24PK-5119,Industrial Consumables,Pallets,Ambient,16.29,0.0853,None,1
16,SKU-00016,BEVERAGES-A-1EA-5714,Beverages,Pallets,Ambient,26.96,0.1119,None,1
17,SKU-00017,BUILDING-B-24PK-4785,Building Materials,Pallets,Ambient,5.24,0.0175,Class 8 Corrosive,1
18,SKU-00018,AMBIENT-PRM-24PK-7792,Ambient Grocery,Cartons,Ambient,8.29,0.0312,Class 8 Corrosive,1
19,SKU-00019,HOMEWARES-STD-1EA-3242,Homewares,Cartons,Ambient,6.54,0.0271,None,1
