scan_event_id,consignment_id,scan_type_id,facility_id,scan_datetime,scanned_by_staff_id,exception_reason_id
1,49785,1,23,2024-02-29 15:00:00,35,
2,49785,2,23,2024-02-29 16:43:43,124,
3,49785,3,23,2024-02-29 20:58:45,12,
4,49785,4,23,2024-03-01 09:24:18,62,
5,49785,5,15,2024-03-02 19:05:04,110,
6,49785,2,15,2024-03-03 02:52:58,163,
7,49785,6,15,2024-03-03 11:26:15,95,
8,49785,7,15,2024-03-03 12:26:15,249,
9,129737,1,26,2025-10-22 14:00:00,95,
10,129737,2,26,2025-10-22 16:40:24,230,
11,129737,3,26,2025-10-22 22:54:46,136,
12,129737,4,26,2025-10-23 13:28:18,164,
13,129737,5,2,2025-10-24 00:26:35,37,
14,129737,2,2,2025-10-24 06:57:36,141,
15,129737,6,2,2025-10-24 18:30:20,35,
16,129737,8,2,2025-10-24 20:21:49,131,2
17,129737,9,2,2025-10-24 22:15:53,149,8
18,129737,7,2,2025-10-26 11:44:58,255,
19,67174,1,27,2024-07-12 14:00:00,250,
20,67174,2,27,2024-07-12 18:25:49,233,
21,67174,3,27,2024-07-12 16:36:52,192,
22,67174,2,25,2024-07-13 02:31:12,89,
23,67174,6,25,2024-07-13 13:55:56,107,
24,67174,7,25,2024-07-14 10:43:18,2,
25,1705,1,45,2023-01-24 16:00:00,120,
26,1705,2,45,2023-01-24 21:09:05,127,
27,1705,3,45,2023-01-24 18:41:00,157,
28,1705,2,44,2023-01-25 03:08:22,110,
29,1705,6,44,2023-01-25 12:43:17,174,
30,1705,7,44,2023-01-25 13:43:17,39,
31,53912,1,18,2024-04-02 14:00:00,209,
32,53912,2,18,2024-04-02 19:17:50,129,
33,53912,3,18,2024-04-02 18:35:22,131,
34,53912,4,18,2024-04-03 22:32:42,213,
35,53912,5,43,2024-04-05 04:20:40,200,
36,53912,2,43,2024-04-05 09:27:42,66,
37,53912,6,43,2024-04-05 15:29:02,182,
38,53912,7,43,2024-04-05 16:29:02,54,
39,146231,1,2,2026-02-19 11:00:00,34,
40,146231,2,2,2026-02-19 14:12:56,208,
41,146231,3,2,2026-02-19 17:35:47,216,
42,146231,4,2,2026-02-20 16:59:10,95,
43,146231,5,27,2026-02-21 11:47:08,154,
44,146231,2,27,2026-02-21 17:24:16,223,
45,146231,6,27,2026-02-22 05:43:13,173,
46,146231,7,27,2026-02-22 18:28:48,5,
47,50851,1,11,2024-03-08 13:00:00,110,
48,50851,2,11,2024-03-08 18:31:31,158,
49,50851,3,11,2024-03-08 20:52:39,209,
50,50851,2,15,2024-03-09 05:31:29,144,
51,50851,6,15,2024-03-09 19:14:51,142,
52,50851,7,15,2024-03-10 07:20:26,217,
53,125141,1,31,2025-09-22 11:00:00,97,
54,125141,2,31,2025-09-22 15:45:21,27,
55,125141,3,31,2025-09-22 15:08:43,210,
56,125141,2,50,2025-09-22 23:52:17,110,
57,125141,6,50,2025-09-23 12:25:12,25,
58,125141,7,50,2025-09-28 19:55:28,197,
59,118167,1,32,2025-08-02 12:00:00,241,
60,118167,2,32,2025-08-02 16:56:39,171,
61,118167,3,32,2025-08-02 16:40:44,57,
62,118167,4,32,2025-08-03 11:43:19,135,
63,118167,5,16,2025-08-04 05:03:47,146,
64,118167,2,16,2025-08-04 08:05:44,121,
65,118167,6,16,2025-08-04 21:14:12,8,
66,118167,7,16,2025-08-11 15:24:39,240,
67,111807,1,23,2025-06-19 13:00:00,46,
68,111807,2,23,2025-06-19 16:14:00,29,
69,111807,3,23,2025-06-19 21:41:00,217,
70,111807,2,47,2025-06-20 01:54:39,254,
71,111807,6,47,2025-06-20 14:57:11,109,
72,111807,7,47,2025-06-20 15:57:11,72,
73,77027,1,31,2024-09-26 11:00:00,189,
74,77027,2,31,2024-09-26 12:58:05,132,
75,77027,3,31,2024-09-26 14:06:32,171,
76,77027,4,31,2024-09-27 00:19:33,24,
77,77027,5,35,2024-09-28 04:12:55,198,
78,77027,2,35,2024-09-28 07:56:51,109,
79,77027,6,35,2024-09-28 17:46:10,141,
80,77027,7,35,2024-10-03 23:24:28,20,
81,30802,1,13,2023-09-26 12:00:00,66,
82,30802,2,13,2023-09-26 16:54:23,161,
83,30802,3,13,2023-09-26 18:47:46,171,
84,30802,2,12,2023-09-27 03:58:55,29,
85,30802,6,12,2023-09-27 17:20:32,217,
86,30802,7,12,2023-09-29 16:59:48,24,
87,144776,1,50,2026-02-10 15:00:00,95,
88,144776,2,50,2026-02-10 19:44:12,239,
89,144776,3,50,2026-02-10 22:47:58,67,
90,144776,4,50,2026-02-11 23:47:09,42,
91,144776,5,16,2026-02-13 08:38:24,71,
92,144776,2,16,2026-02-13 17:42:16,208,
93,144776,6,16,2026-02-14 00:01:21,66,
94,144776,7,16,2026-02-15 15:51:08,143,
95,90785,1,41,2025-01-02 11:00:00,160,
96,90785,2,41,2025-01-02 16:33:10,186,
97,90785,3,41,2025-01-02 15:20:35,173,
98,90785,4,41,2025-01-03 02:48:34,76,
99,90785,5,14,2025-01-04 12:05:20,35,
100,90785,2,14,2025-01-04 17:59:18,66,
101,90785,6,14,2025-01-05 06:50:02,29,
102,90785,7,14,2025-01-05 18:41:57,28,
103,10944,1,33,2023-04-17 14:00:00,241,
104,10944,2,33,2023-04-17 19:58:07,184,
105,10944,3,33,2023-04-17 18:48:55,31,
106,10944,4,33,2023-04-18 05:01:32,84,
107,10944,5,23,2023-04-19 02:09:44,199,
108,10944,2,23,2023-04-19 10:40:46,157,
109,10944,6,23,2023-04-19 15:48:53,72,
110,10944,7,23,2023-04-23 12:29:28,99,
111,61975,1,39,2024-06-05 08:00:00,59,
112,61975,2,39,2024-06-05 09:49:41,46,
113,61975,3,39,2024-06-05 16:06:58,198,
114,61975,4,39,2024-06-06 06:49:05,211,
115,61975,5,42,2024-06-06 19:39:17,57,
116,61975,2,42,2024-06-07 02:25:34,214,
117,61975,6,42,2024-06-07 07:40:51,39,
118,61975,7,42,2024-06-11 06:24:21,71,
119,79834,1,11,2024-10-16 14:00:00,252,
120,79834,2,11,2024-10-16 17:39:53,49,
121,79834,3,11,2024-10-16 22:02:14,243,
122,79834,4,11,2024-10-17 22:51:15,144,
123,79834,5,1,2024-10-19 06:26:51,100,
124,79834,2,1,2024-10-19 15:20:40,189,
125,79834,6,1,2024-10-20 03:11:15,81,
126,79834,7,1,2024-10-20 20:58:59,149,
127,115089,1,38,2025-07-11 11:00:00,28,
128,115089,2,38,2025-07-11 14:53:03,109,
129,115089,3,38,2025-07-11 13:16:16,229,
130,115089,2,40,2025-07-11 20:55:42,77,
131,115089,6,40,2025-07-12 07:10:13,1,
132,115089,7,40,2025-07-13 06:29:09,151,
133,154444,1,36,2026-04-20 16:00:00,102,
134,154444,2,36,2026-04-20 20:19:10,195,
135,154444,3,36,2026-04-20 19:42:16,194,
136,154444,2,37,2026-04-21 03:34:57,29,
137,154444,6,37,2026-04-21 08:18:17,15,
138,154444,7,37,2026-04-27 01:56:09,35,
139,113845,1,16,2025-07-03 14:00:00,142,
140,113845,2,16,2025-07-03 19:21:09,34,
141,113845,3,16,2025-07-03 21:02:47,2,
142,113845,4,16,2025-07-04 10:54:57,164,
143,113845,5,35,2025-07-05 03:24:25,243,
144,113845,2,35,2025-07-05 12:44:28,190,
145,113845,6,35,2025-07-06 00:42:02,34,
146,113845,8,35,2025-07-06 04:00:54,114,8
147,113845,9,35,2025-07-06 02:25:37,10,1
148,113845,7,35,2025-07-09 00:24:53,37,
149,106681,1,14,2025-05-15 13:00:00,92,
150,106681,2,14,2025-05-15 17:47:39,186,
151,106681,3,14,2025-05-15 17:06:40,38,
152,106681,4,14,2025-05-16 17:54:47,186,
153,106681,5,3,2025-05-18 00:06:20,91,
154,106681,2,3,2025-05-18 08:45:49,98,
155,106681,6,3,2025-05-18 12:56:46,202,
156,106681,7,3,2025-05-22 10:05:20,130,
157,20484,1,1,2023-07-03 07:00:00,217,
158,20484,2,1,2023-07-03 12:39:45,47,
159,20484,3,1,2023-07-03 17:00:06,143,
160,20484,4,1,2023-07-04 13:18:07,236,
161,20484,5,23,2023-07-05 20:22:06,83,
162,20484,2,23,2023-07-06 00:39:48,114,
163,20484,6,23,2023-07-06 05:28:06,14,
164,20484,7,23,2023-07-06 06:28:06,95,
165,37547,1,36,2023-11-14 08:00:00,118,
166,37547,2,36,2023-11-14 10:00:26,251,
167,37547,3,36,2023-11-14 14:55:33,169,
168,37547,2,37,2023-11-15 00:51:12,201,
169,37547,6,37,2023-11-15 14:06:07,22,
170,37547,7,37,2023-11-15 15:06:07,178,
