trip_driver_id,trip_id,driver_id,driver_role,hours_driven
1,1,241,Primary,5.81
2,2,414,Primary,10.43
3,3,184,Primary,15.49
4,3,244,Second Driver,14.27
5,4,88,Primary,22.35
6,5,15,Primary,1.44
7,6,6,Primary,9.67
8,6,403,Second Driver,9.75
9,7,403,Primary,7.95
10,7,19,Second Driver,6.85
11,8,70,Primary,13.49
12,8,268,Second Driver,13.09
13,9,290,Primary,13.1
14,10,5,Primary,15.53
15,10,208,Second Driver,15.24
16,11,326,Primary,16.59
17,11,158,Second Driver,20.32
18,12,194,Primary,20.99
19,12,342,Second Driver,17.23
20,13,103,Primary,18.99
21,13,31,Second Driver,17.81
22,14,343,Primary,12.34
23,15,376,Primary,12.65
24,16,383,Primary,10.13
25,16,346,Second Driver,10.16
26,17,140,Primary,33.69
27,18,258,Primary,17.22
28,18,372,Second Driver,15.39
29,19,363,Primary,10.09
30,19,83,Second Driver,9.97
31,20,270,Primary,2.99
32,21,239,Primary,0.97
33,22,168,Primary,16.97
34,22,273,Second Driver,16.62
35,23,98,Primary,21.36
36,24,344,Primary,18.34
37,24,199,Second Driver,18.62
38,25,386,Primary,24.03
39,26,58,Primary,32.33
40,27,373,Primary,42.76
41,28,346,Primary,19.87
42,28,365,Second Driver,20.22
43,29,341,Primary,10.53
44,30,289,Primary,11.43
45,31,406,Primary,5.66
46,32,179,Primary,7.4
47,32,267,Second Driver,7.56
48,33,194,Primary,5.72
49,33,407,Second Driver,6.08
50,34,29,Primary,13.25
51,34,360,Second Driver,14.08
52,35,324,Primary,22.27
53,36,136,Primary,6.28
54,37,89,Primary,2.03
55,38,67,Primary,14.58
56,38,331,Second Driver,12.83
57,39,267,Primary,15.12
58,40,383,Primary,24.61
59,41,207,Primary,22.42
60,42,215,Primary,20.75
61,42,403,Second Driver,20.37
62,43,362,Primary,7.33
63,44,4,Primary,12.05
64,45,81,Primary,10.77
65,45,145,Second Driver,10.06
66,46,63,Primary,9.22
67,47,268,Primary,7.12
68,48,195,Primary,10.37
69,49,76,Primary,17.82
70,49,26,Second Driver,19.49
71,50,384,Primary,17.67
72,50,134,Second Driver,17.26
73,51,342,Primary,5.79
74,52,76,Primary,24.93
75,52,287,Second Driver,26.65
76,53,133,Primary,24.3
77,53,150,Second Driver,24.4
78,54,154,Primary,10.18
79,54,242,Second Driver,9.18
80,55,20,Primary,6.9
81,56,116,Primary,16.36
82,56,253,Second Driver,18.54
83,57,322,Primary,11.45
84,57,376,Second Driver,11.77
85,58,284,Primary,8.53
86,59,346,Primary,20.11
87,59,184,Second Driver,18.5
88,60,151,Primary,8.8
89,60,261,Second Driver,7.89
90,61,7,Primary,10.53
91,61,199,Second Driver,11.04
92,62,254,Primary,40.62
93,63,414,Primary,37.37
94,64,127,Primary,9.88
95,64,283,Second Driver,10.13
96,65,226,Primary,8.91
97,65,305,Second Driver,9.07
98,66,15,Primary,42.77
99,67,153,Primary,29.26
100,68,360,Primary,16.09
101,68,42,Second Driver,15.97
102,69,149,Primary,11.33
103,70,12,Primary,7.78
104,71,358,Primary,20.43
105,71,199,Second Driver,22.28
