trip_id,trip_reference,vehicle_id,carrier_id,origin_facility_id,destination_facility_id,planned_departure,actual_departure,actual_arrival,planned_distance_km,actual_distance_km,fuel_used_litres,pallets_loaded,trip_status
1,TR2301010000001,102,3,46,23,2023-01-01 22:00:00,2023-01-01 22:16:00,2023-01-02 03:53:51,283.0,301.7,59.63,29,COMPLETED
2,TR2301010000002,95,10,41,50,2023-01-01 00:15:00,2023-01-01 01:08:00,2023-01-01 09:38:46,603.4,602.8,256.0,36,COMPLETED
3,TR2301010000003,183,8,18,7,2023-01-01 14:00:00,2023-01-01 14:49:00,2023-01-02 21:34:11,2304.0,2227.4,815.18,17,COMPLETED
4,TR2301010000004,30,1,16,32,2023-01-01 14:00:00,2023-01-01 14:47:00,2023-01-02 11:20:27,1642.8,1616.1,627.72,24,COMPLETED
5,TR2301010000005,307,6,18,22,2023-01-01 00:45:00,2023-01-01 00:47:00,2023-01-01 02:10:54,47.5,51.5,16.27,24,COMPLETED
6,TR2301010000006,126,7,27,15,2023-01-01 02:15:00,2023-01-01 02:49:00,2023-01-01 20:11:15,1509.6,1428.5,643.31,33,COMPLETED
7,TR2301010000007,205,7,49,15,2023-01-01 02:15:00,2023-01-01 02:38:00,2023-01-01 17:05:35,1429.3,1481.2,575.96,3,COMPLETED
8,TR2301010000008,290,2,3,16,2023-01-01 23:00:00,2023-01-01 23:11:00,2023-01-03 02:06:01,2202.7,2413.1,874.26,31,COMPLETED
9,TR2301010000009,63,5,31,18,2023-01-01 00:15:00,2023-01-01 00:28:00,2023-01-01 13:22:10,869.6,910.6,289.5,21,COMPLETED
10,TR2301010000010,60,1,33,30,2023-01-01 05:45:00,2023-01-01 06:09:00,2023-01-02 11:36:26,2219.1,2412.4,774.63,18,COMPLETED
11,TR2301010000011,320,10,28,17,2023-01-01 18:45:00,2023-01-01 19:09:00,2023-01-03 06:48:06,2669.2,2421.7,1166.06,33,COMPLETED
12,TR2301010000012,286,4,3,47,2023-01-01 21:45:00,2023-01-01 22:05:00,2023-01-03 12:00:45,2822.8,2989.2,982.95,32,COMPLETED
13,TR2301010000013,170,9,33,43,2023-01-01 11:15:00,2023-01-01 12:33:00,2023-01-03 04:12:34,2620.1,2824.7,999.62,26,COMPLETED
14,TR2301010000014,243,9,1,46,2023-01-01 22:00:00,2023-01-01 22:03:00,2023-01-02 09:40:54,720.7,709.4,224.37,44,COMPLETED
15,TR2301010000015,289,4,40,30,2023-01-01 08:00:00,2023-01-01 08:27:00,2023-01-01 20:21:09,847.6,941.1,313.94,54,COMPLETED
16,TR2301010000016,194,8,47,44,2023-01-01 08:30:00,2023-01-01 08:55:00,2023-01-02 04:44:11,1938.1,2115.3,654.33,48,COMPLETED
17,TR2301010000017,301,9,32,44,2023-01-01 00:00:00,2023-01-01 01:38:00,2023-01-02 12:51:37,2398.8,2474.3,889.98,7,COMPLETED
18,TR2301010000018,224,3,6,11,2023-01-01 18:30:00,2023-01-01 18:53:00,2023-01-03 03:33:40,2468.9,2678.7,1025.12,53,COMPLETED
